LOCATION ADDRESS,PERMIT TYPE,FILMING DAYS
"101 FWY, 405 FWY, 134 FWY, 5 FWY, 10 FWY (INCLUSIVE, EXCLUDING FREEWAYS), LOS ANGELES, CA, 90014",Filming,2
"101 Fwy, 405 Fwy, 5 Fwy, 10 Fwy, Los Angeles, CA, 90006",Filming,2
"101 Fwy, 405 Fwy, 5 Fwy, Jefferson Blvd., Los Angeles, CA, 90006",Filming,2
"101 Fwy, 5 Fwy, 10 Fwy, 110 Fwy, Inclusive (Excluding Freeways)Los Angeles, CA, 90013",Still,2
"101 Fwy, 5 Fwy, Alvarado St., Vermont Ave.,  Inclusive (Excluding Freeways)Los Angeles, CA, 90026",Still,1
"101 FWY, 5 FWY, LOS FELIZ BL., 101 FWY, LOS ANGELES, CA, 90027",Still,5
"101 Fwy, 5 Fwy, Vermont Ave, Los Feliz Blvd inclusive, Los Angeles, CA, 90026",Filming,1
"101 Fwy, 5 Fwy, Vermont Ave, Los Feliz Blvd inclusive, Los Angeles, CA, 90026",Still,1
"101 Fwy, 5 Fwy, Western Ave, Los Feliz Blvd inclusive, Los Angeles, CA, 90026",Still,1
"101 Fwy, 60 Fwy, Lorena St, 10 Fwy., LOS AGELES , CA, 90012",Filming,1
"101 Fwy, 60 Fwy, N Gage Ave, E Cesar Chavez Ave, (Excluding State Freeways, Highways and Parks), Los Angeles, CA, 90063",Filming,2
"101 Fwy, CA-2/Glendale Bl., 5 Fwy, Los Feliz Bl. (Inclusive, Excluding State Hwys), Los Angeles, CA, 90027",Filming,1
"101 Fwy, Glendale Fwy/Alvarado St, 5 Fwy, Los Feliz Blvd, Vermont Ave Inclusive (EXCLUDING FREEWAYS), Los Angeles, CA, 90026",Still,1
"101 Fwy, Hollywood Blvd, Laurel Canyon Blvd, Mulholland Dr. (inclusive), Los Angeles , CA, 90068",Still,3
"101 Fwy, Los Feliz Blvd, 5 Fwy, 134 Fwy. (inclusive) , Los Angeles , CA, 90039",Filming,1
"101 Fwy, Mission Rd, Willow St, 7th St., Los Angeles, CA, 90033",Filming,2
"101 Fwy, Mulholland Dr, 405 Fwy., Inclusive (Excludiing Freeways), San Fernando Valley, CA, 91423",Filming,1
"101 Fwy, S Alvarado St, Hoover St, 10 Fwy, 110 Fwy, (Inclusive, excluding State Freeways, Highways and Parks), Los Angeles, CA, 90015",Filming,3
"101 Fwy, Sunset Blvd, Beverly Glen Blvd, Ventura Blvd, (Inclusive, excluding State Freeways, Highways, Parks, City of Beverly Hills, City of Hollywood), Los Angeles, CA, 90028",Filming,15
"101 FWY, Washington Blvd, Alameda St, Normandie Ave (Inclusive) , Los Angeles, CA, 90017",Filming,1
"101 Fwy, Washington Blvd, Hoover St, S Alvarado St and Alameda St, (Inclusive, excluding Arts District, State Highways, Freeways and Parks), Los Angeles, CA, 90017",Still,1
"101 FWY, Western Av., Los Feliz Bl., San Fernando Rd., 2 FWY/Glendale Bl. (INCLUSIVE)(EXCLUDING FREEWAYS)t, Los Angeles, CA, 90039",Filming,1
"101 Fwy., 10 Fwy., Alameda St. (inclusive. Excludes activity on Traction Ave & Freeways) , Los Anglees , 90013",Filming,3
"101 FWY., 10 FWY., Alameda St., LA River. Inclusive (Excluding Freewasy and LA River), Los Angeles, CA, 90013",Still,2
"101 Fwy., 110 Fwy., 10 Fwy., Highland Av. (Inclusive, excluding State Hwys, Hancock Park, & Windsor Square), Los Angeles, 90018",Filming,5
